state,code,is_final,restart,look_ahead,return_value,s,e,n,a,o,f,c,q,u,t,i,m,l,\{,",",;,\},"""",>,<,=,!,\(,\),\+,-,\*,/,\., ,\t,\n,0,[1-9],[a-zA-Z0-9],[^a-zA-Z0-9],r,g,p
74,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,26,26,26,75,26,26,26
75,TYPE:FLOAT,TRUE,,TRUE,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
76,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,26,26,26,77,26,26,26
77,TYPE:INT,TRUE,,TRUE,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
78,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,79,26,26
79,,FALSE,,FALSE,,26,26,26,26,80,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26
80,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,26,26,26,26,26,81,26
81,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,82,26,26
82,,FALSE,,FALSE,,26,26,26,83,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26
83,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,84,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26
84,,FALSE,,FALSE,,26,26,26,85,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26
85,,FALSE,,FALSE,,26,26,26,26,26,26,26,26,26,26,26,26,26,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,26,26,26,86,26,26,26
86,PROGRAM,TRUE,,TRUE,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,COMMA,TRUE,,FALSE,FALSE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
